artist,album,track,uri
Flozigg,FLOOR,FLOOR,spotify:track:0YsiXEd69QrZK3AVfBAuV9
Mick Jenkins,Bruce Banner,Bruce Banner,spotify:track:0bMuApc5WH3cB5s4wMQCRx
Shanté,I Chose to Keep Going,How Long?,spotify:track:0bFiS83jnXUTojsrO6p77A
Jack Ü,Skrillex and Diplo present Jack Ü,To Ü (feat. AlunaGeorge),spotify:track:3UgSQu6WwrXfKKDq019IHE
Magic City Hippies,Hippie Castle EP,Limestone,spotify:track:00HIh9mVUQQAycsQiciWsh
ELIZA,A Real Romantic,Livid,spotify:track:7uP42ncMnsgL3adyj9px5c
Megan Thee Stallion,BOA,BOA,spotify:track:3tUwmCcdunuXKwHu8u2aBn
J.Robb,"Ayye Mane (feat. Blue November, Lauren Truee & Garrott Odom)","Ayye Mane (feat. Blue November, Lauren Truee & Garrott Odom)",spotify:track:3pt3WoId5BLSCGWsHAOHAW
SiR,November,Something Foreign,spotify:track:51HuSQ3lAnMuZiPu9YBJqN
LOONY,soft thing,raw,spotify:track:5WjTrSEmsfIC1WDwIquuwT
Carl Thomas,Emotional,Emotional,spotify:track:2qYIdNaktgtpaPHxDVMXbE
"Grover Washington, Jr.",Anthology,Just the Two of Us (feat. Bill Withers),spotify:track:1ko2lVN0vKGUl9zrU0qSlT
Cleo Sol,Gold,Life Will Be,spotify:track:4ZTC6KvnQxloiwmT0Yhypy
Drake,Thank Me Later,Miss Me,spotify:track:1U4mweNwisxNj23ffuC9gO
GoldLink,"And After That, We Didn't Talk",Unique (feat. Anderson .Paak),spotify:track:0M6gonJgoyBQsE42aWE5tW
BTS,YOU NEVER WALK ALONE,Blood Sweat & Tears,spotify:track:6s4nmrLG6XiiGJsVQtm6FI
IDK,Cereal (feat. Kenny Mason),Cereal (feat. Kenny Mason),spotify:track:5aeaaeKp8fY60CVHAzNbwL
BTS,YOU NEVER WALK ALONE,Not Today,spotify:track:7KlTFTpy7dXLzr2NtLkvG6
Jack Harlow,WHATS POPPIN,WHATS POPPIN,spotify:track:3Q6F8RByyhRTJpRtZLY3cg
Bobbi Humphrey,Fancy Dancer,Please Set Me At Ease,spotify:track:5emxS2ghZWuPnRFOe10vdq
Raedio,Black & Unlimited,Free,spotify:track:7KfoJkn1lHsaaIROetHaoE
ByHaze,Feel Good,FEEL GOOD - Slowed Down Version,spotify:track:7tT5OEqZ3TRXQQbH8qhERt
Flwr Chyld,Luv N Chaos,Conversations with Saturn,spotify:track:4Ux1h119ZFHBZVM0NzJL9S
Tom Misch,Beat Tape 2,Beautiful Escape,spotify:track:5MChi9fdCbTIWDJPPUuuW6
WILLOW,symptom of life,symptom of life,spotify:track:63SFAhNnOER587HfPOq4cO
Amindi,nice,death proof,spotify:track:6jgpzjzjqJBtSjvhAOq4MR
Arin Ray,Phases III - EP,Wet Dream,spotify:track:5YIvTBvKjz229Gw3FW13Nu
J. Cole,4 Your Eyez Only,Ville Mentality,spotify:track:2z3joGXrdGL2iEjIKQTiN1
Devin Tracy,Soulection Black Label: Devin Tracy,For Me,spotify:track:4O2I4UYYjPnsBE1EWmDUFO
Earl Sweatshirt,Doris,Burgundy (feat. Vince Staples),spotify:track:43tVqovviXhkmOV5LOkTn7
cehryl,Side Effects,Side Effects,spotify:track:21Wmv5UWeFRYil2WwHd25v
"Tyler, The Creator",Flower Boy,See You Again (feat. Kali Uchis),spotify:track:7KA4W4McWYRpgf0fWsJZWB
Junia-T,Studio Monk,Thinking Over,spotify:track:6TxE45iY4i4Nsc9nh5Qysa
Drake,What A Time To Be Alive,30 for 30 Freestyle,spotify:track:1DmnEYXa4WfbdhAPwNzgD8
Mysie,CTRL,CTRL,spotify:track:0cGwZWfdBTLWZSiATC7OXm
NEONE the Wonderer,RagJazz,RagJazz,spotify:track:7DAuQoUWFq40NBVXwWs4xU
Isaiah Rashad,The Sun's Tirade,Wat's Wrong (feat. Zacari & Kendrick Lamar),spotify:track:2RPbEp0DyBVlkRvvYKopO7
Tove Lo,BLUE LIPS,cycles,spotify:track:5rUETOajWWAqpjamjDD4cT
Clams Casino,Moon Trip Radio,Moon Trip Radio,spotify:track:4J5CK4C90loxFNY0MEXmtj
Young Franco,Two Feet,Two Feet,spotify:track:7umNx2x8ve6JGZSZOUw9xU
Childish Major,WOO$AH,Happy Birthday (feat. SZA & Isaiah Rashad),spotify:track:5KNoyjCDbXVPhzAX3CZsnC
Maddie Jay,Excuses,Excuses,spotify:track:4b64vOfZptiujHdsqjbfoD
Mick Jenkins,Pieces of a Man,U Turn,spotify:track:3m4uDi8X57XVTzAjb9btNh
Aminé,TWOPOINTFIVE,Twisted!,spotify:track:5IEqZd6NOoVSWk4ehFdbgG
Childish Gambino,Kauai,Sober,spotify:track:6olUplztLFFfU7fMYmFXOP
Mom Friend,Cost of Living,Scared :),spotify:track:2H1dJXtu1j3BVfatJ05hbt
Mark Ronson,I Can't Lose (Remixes) - EP (feat. Keyone Starr),I Can't Lose (feat. Keyone Starr) - Pomo Remix,spotify:track:52yAJNEvLjD5wRMnSDa3na
Oliver Malcolm,Switched Up,Switched Up,spotify:track:2qtJUSJmPz5mkVhFHrtCd7
Steve Lacy,Some,Some,spotify:track:4riDfclV7kPDT9D58FpmHd
Aaliyah,Aaliyah,Rock The Boat,spotify:track:0qvlhVNm7L5IWabWF5hlEL
Little Simz,Drop 7,Far Away,spotify:track:7p6ru2D2smv8ga7f06JkTo
Bad Bunny,nadie sabe lo que va a pasar mañana,MONACO,spotify:track:4MjDJD8cW7iVeWInc2Bdyj
JPEGMAFIA,BODYGUARD!,BODYGUARD!,spotify:track:4nL3x1SDCyvW7miwhwE2vk
DEAN,love,love,spotify:track:6wcRv0UBvEH9NCIA3IVyQs
Justin Bieber,Journals,Confident,spotify:track:3JsydWaf2Ev4ehaLUjj3SY
